Title,Year,Authors,Broad role of visualization,Broad role of visualization (specific),Visualization content,Target population,Target population (specific),Target deployment environment/technology,Target outcome,(Design process) Data collection – methodology,(Evaluation process) Data collection – setup,(Evaluation process) Data collection – setup (specific),(Evaluation process) Data collection – methodology,"Time-sensitive, critical component of visualization usage",(Design process) Data analysis,(Design process) Alignment,(Evaluation process) Alignment,Notes
Chemicals in the Creek: Designing a Situated Data  Physicalization of Open Government Data with the Community,2021,"Laura J. Perovich, Sara Ann Wylie, Roseann Bongiovanni ","Communicative / Explanatory Medium
Affective / Reflective Medium",,Data physicalizations of water violation data from the oil storage facilities on Chelsea Creek,"General Public / Everyday Audiences
Specific Publics / Lived Communities",,"Public Display / Shared Physical Space
Tangible / Physical-Computational Interfaces","Affect, Reflection, Attitude, or Belief Change
Engagement & Participation",Participatory Design / Co-Design,In-the-Wild / Naturalistic / Public Deployment,,"Observation / Ethnographic Methods
Content Analysis of Outputs
Surveys / Questionnaires
Interviews",No,Participatory action research – qualitative analysis,"Target population – Y
Target environment/technology – Y
Target interaction/behavior/insight – Y","Target population – Y
Target environment/technology – Y
Target interaction/behavior/insight – Y",
Affective Congruence in Visualization Design:  Influences on Reading Categorical Maps,2022,Cary L. Anderson and Anthony C. Robinson,"Perceptual / Cognitive Object
Affective / Reflective Medium",,Map visualizations with different color scales,General Public / Everyday Audiences,,Experimental / Prototype-Only Environment,"Pattern Detection & Sensemaking
Affect, Reflection, Attitude, or Belief Change","Literature-Derived
Researcher-Constructed
User Elicitation",Controlled Laboratory Study (remote or in-person),,Controlled Task Performance Measures,No,,,,
Instructional Comics for Self-Paced Learning of Data Visualization Tools and Concepts,2025,"M. Boucher, M. AlKadi, B. Bach and W. Aigner","Communicative / Explanatory Medium
Learning Tool",,Comics that explained network visualization tool,General Public / Everyday Audiences,,Static / Print-Like Media,Learning & Conceptual Understanding,"Domain Expert Elicitation
User Elicitation",Simulated but Contextualized Scenario / Workflow,,"Surveys / Questionnaires
Interviews
Physiological / Behavioral Sensing",No,N/A,"Target population – Y
Target environment/technology – N
Target interaction/behavior/insight – N","Target population – Y
Target environment/technology – N
Target interaction/behavior/insight – N",
Supporting the Contact Tracing Process with WiFi Location Data: Opportunities and Challenges,2022,"Kaely Hall, Dong Whi Yoo, Wenrui Zhang, Mehrab Bin Morshed, Vedant Das Swain, Gregory D. Abowd, Munmun De Choudhury, Alex Endert, John Stasko, and Jennifer G Kim",Analytic / Reasoning Tool,,Digital contact tracing tool and visualizations of symptom timeline and colocations with others,Specific Publics / Lived Communities,Contact tracers and community members),Interactive Desktop / Web Visualization,"Pattern Detection & Sensemaking
Coordination & Collaboration",User Elicitation,"Simulated but Contextualized Scenario / Workflow
Embedded Use in Real Workflows",Embedded Use in Real Workflows (almost),Interviews,Yes,N/A,"Target population – Y
Target environment/technology – N
Target interaction/behavior/insight – N","Target population – Y
Target environment/technology – Y
Target interaction/behavior/insight – Y",
What makes web data tables accessible? Insights and a tool for rendering accessible tables for people with visual impairments,2022,"Yanan Wang, Ruobing Wang, Crescentia Jung, and Yea-Seul Kim","Communicative / Explanatory Medium
Analytic / Reasoning Tool",,HTML formatted tables transformed into accessible tables,Specific Publics / Lived Communities,BLV individuals,Interactive Desktop / Web Visualization,Communication & Narrative Uptake,User Elicitation,Simulated but Contextualized Scenario / Workflow,,"Guided or Free Exploration / Think-Aloud Protocols
Interviews",No,Interview study – qualitative analysis,"Target population – Y
Target environment/technology – Y
Target interaction/behavior/insight – Y","Target population – Y
Target environment/technology – Y
Target interaction/behavior/insight – Y",
Examining Limits of Small Multiples: Frame  Quantity Impacts Judgments With Line Graphs,2025,"Helia Hosseinpour, Laura E. Matzen, Kristin M. Divis, Spencer C. Castro, and Lace Padilla",Perceptual / Cognitive Object,,Small multiple charts,General Public / Everyday Audiences,,Physiological / Behavioral Sensing,"Perceptual Discrimination & Accuracy
Pattern Detection & Sensemaking",Researcher-Constructed,Controlled Laboratory Study (remote or in-person),,"Surveys / Questionnaires
Physiological / Behavioral Sensing",No,N/A,N/A,"Target population – Y
Target environment/technology – N/A
Target interaction/behavior/insight – N/A",
Exploring How Visualization Design and Situatedness Evoke Compassion in the Wild,2022,"L. Morais, N. Andrade, and D. Sousa","Affective / Reflective Medium
Engagement Medium",,"Data physicalizations of harrassment stories of women, exhibited in a public place, in addition to verbal descriptions and 2D visualizations ",General Public / Everyday Audiences,,"Public Display / Shared Physical Space
Static / Print-Like Media
Tangible / Physical-Computational Interfaces","Affect, Reflection, Attitude, or Belief Change
Engagement & Participation",User Elicitation,In-the-Wild / Naturalistic / Public Deployment,,Surveys / Questionnaires,No,N/A,"Target population – Y
Target environment/technology – N
Target interaction/behavior/insight – N","Target population – Y
Target environment/technology – Y
Target interaction/behavior/insight – Y",
Don’t Peek at My Chart: Privacy-preserving Visualization for Mobile Devices,2023,"Songheng Zhang, Dong Ma and Yong Wang",Perceptual / Cognitive Object,,"Visualizations of varying types (bar chart, pie chart, scatter plot, and line chart), with different mask areas and luminance contrasts",General Public / Everyday Audiences,,Mobile / Personal Device,Perceptual Discrimination & Accuracy,User Elicitation,Simulated but Contextualized Scenario / Workflow,,"Surveys / Questionnaires
Interviews",No,Interview study – qualitative and quantitative analysis,"Target population – Y
Target environment/technology – Y
Target interaction/behavior/insight – Y","Target population – Y
Target environment/technology – Y
Target interaction/behavior/insight – Y",
Public Data Visualization: Analyzing Local Running Statistics on Situated Displays,2021,J. Coenen & A. Vande Moere,Analytic / Reasoning Tool,,Visualizations of running times displayed on digital screens,General Public / Everyday Audiences,,"Public Display / Shared Physical Space
Static / Print-Like Media","Pattern Detection & Sensemaking
Engagement & Participation",Researcher-Constructed,In-the-Wild / Naturalistic / Public Deployment,,"Interaction Log / Trace Data
Interviews",No,N/A,N/A,"Target population – Y
Target environment/technology – Y
Target interaction/behavior/insight – Y",
Visualization Equilibrium,2022,"Paula Kayongo, Glenn Sun, Jason Hartline, and Jessica Hullman",Analytic / Reasoning Tool,,"Static bar charts, uncertainty visualizations",General Public / Everyday Audiences,,Experimental / Prototype-Only Environment,Decision-Making & Judgment,Researcher-Constructed,Controlled Laboratory Study (remote or in-person),,"Controlled Task Performance Measures
Surveys / Questionnaires",No,N/A,N/A,"Target population – Y
Target environment/technology – N
Target interaction/behavior/insight – Y",
"Classroom Dandelions: Visualising Participant Position, Trajectory and Body Orientation Augments Teachers’ Sensemaking",2022,"Gloria Milena Fernandez-Nieto, Pengcheng An, Jian Zhao, Simon Buckingham Shum, and Roberto Martinez-Maldonado",Analytic / Reasoning Tool,,Digitial indoor maps corresponding to critical classroom events using heatmaps and dandelion diagrams,Specific Publics / Lived Communities,Teachers and students,Interactive Desktop / Web Visualization,Pattern Detection & Sensemaking,Researcher-Constructed,Simulated but Contextualized Scenario / Workflow,,"Guided or Free Exploration / Think-Aloud Protocols
Interviews",No,N/A,N/A,"Target population – Y
Target environment/technology – N
Target interaction/behavior/insight – N",
